Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU),Aphelion Distance (miles),Perihelion Distance (miles)
(1998 XD12),2.2718742770471643,0.6239587858885607,13.525893247854741,11,8,604.4,0.5260714550596908,211183907.44574147,48901396.78836898
(2002 EG116),1.5066557142309767,0.0780230446319931,12.19738749544848,7,8,603.5,1.288564150007282,140052398.19885802,119779520.78700747
(2001 BM61),1.6489600513758167,0.1911465019195008,24.94435856361458,12,9,594.9,1.119733889660927,153280412.7366095,104085767.6443969
(2002 EA),1.9604690186477411,0.4230415932426637,11.29106430009123,7,8,590.6,0.7948531419371079,182236980.26215786,73886215.47226499
(1998 UY24),1.8059997664796918,0.3222606478282471,16.92971692739247,11,9,583.0,0.9256851996364279,167878166.2280162,86047815.01289639
(2001 SB170),1.991727400357672,0.4638439905084564,34.51785651843191,11,8,579.7,0.7295016558423112,185142628.36805287,67811415.32583122
(2001 UE18),1.6029993839739298,0.1804001909982839,15.356685533107019,8,9,578.0,1.113027597719875,149008101.79546005,103462378.86320782
(2001 FP32),1.809925176246121,0.3328890745014085,29.259529761790056,13,9,578.0,0.905867474276064,168243055.86173207,84205642.35370864
(2002 OY21),2.2608299822831746,0.6689144358273204,13.872242094884811,14,8,575.9,0.4485120112294259,210157276.11019358,41691796.07547979
(2001 SZ169),1.6443517374476,0.2307682835935846,6.3400399500455284,7,8,564.1,1.027721892279742,152852043.19524455,95532718.14902529
163335 (2002 LJ),2.2138863725349838,0.6671307618164383,56.31282891416036,66,0,559.0,0.4420377136150705,205793594.9697406,41089972.51421156
(2001 YO2),2.1848183674824817,0.6882752344705655,48.01586052268147,11,8,537.7,0.4034069679055951,203091555.0942689,37499020.36122829
(2000 HP40),1.49860687877683,0.1603395773490326,14.16052296285474,12,8,536.1,1.084441925264861,139304212.20161006,100805174.60370968
(2002 XM14),1.529431505421679,0.1907254393040675,62.42003194393143,11,8,531.7,1.039475574140797,142169540.2552716,96625291.13484998
(2002 CT118),1.725709256784137,0.3498238891355815,10.38525388121525,8,9,528.0,0.8312306087404985,160414697.08290318,77267712.26552185
(2002 AS4),2.2830216032566155,0.8014395030920578,27.03895020931382,7,9,521.1,0.2516420358364013,212220116.1524768,23391588.585000426
(2000 WN148),1.4852938422633668,0.1735935855572961,12.43150047320625,11,7,520.0,1.045895592549463,138066688.14524582,97222069.12873521
