Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU)
(2003 BN1),2.264856898835271,0.4842940077669821,60.90693259224879,11,9,688.4615276617254,0.7869062787882669
(2002 EW11),2.1681215923734016,0.4283007126427527,3.7977459099131035,12,8,683.1159086469722,0.8678239521216018
(1998 LE),2.568294538755357,0.6981101279422018,9.10960527549262,11,9,679.3864658132603,0.4565911815455508
(2001 ND13),2.16254119381497,0.43511012074333705,8.424566466867361,10,8,675.6428256977841,0.8512222276217755
(2003 AS42),2.018081801756884,0.3421286557102058,10.01519535217826,8,8,673.4654995325689,0.9892033689616984
(1999 CQ2),2.075864651937761,0.3810155416680117,3.697283683836495,11,8,673.1302817795512,0.9304225176193608
(2002 RO28),2.0000821556829207,0.3313357060949623,6.187272522093209,9,7,672.5720414185263,1.0045426681333158
(2002 MR3),2.429847819395685,0.6185185714617487,9.748576471818252,17,9,671.8781356175936,0.5727100285518889
(2001 YD1),2.179648645409893,0.4645463611123201,7.035611686036747,9,8,663.1678727785095,0.7969025970573703
(1999 RP28),1.8318147191088059,0.2406304616600653,9.238991138591508,11,8,655.325523167768,1.1212237169419872
(2001 PG14),1.9678057860832,0.3354640226132667,10.7370683654639,14,7,653.316290906583,0.9791935381405288
(2001 WH49),1.937576374990003,0.3205286594159952,4.773494909080204,7,9,649.1796924726107,0.9969701207246716
(2003 DH6),1.9246254624153942,0.3132305797360327,19.15436148463549,15,7,648.0466753274212,1.006505585115125
(2002 YG4),1.915727236241449,0.3091649313137624,9.731395296611666,11,7,646.5578552732329,1.0109127774335178
(2001 TB2),1.791757776690792,0.2265620447854792,25.69987119167573,16,7,644.8862120664742,1.129835605899427
(1995 HM),1.7808788680713592,0.2198871253362188,3.988617887270081,12,5,644.2738821288888,1.138864821461429
(1997 UR),1.914536151449821,0.3121324458350451,2.264297950713655,22,7,643.7648673601345,1.003669487816121
(1996 FT1),2.035348304824027,0.398751214499961,2.698883026018024,13,8,641.1295905154959,0.8748880313090469
(2001 PJ29),2.015319905328347,0.3916312763024541,6.634188704455752,19,8,636.5435874205745,0.8810218766457192
(2002 VS85),2.251307501051277,0.5621184251920556,24.775672229453267,8,8,631.9456402412645,0.6310699995847437
(2000 LD3),2.5076789934143817,0.7409139926398867,37.189624704773045,11,9,631.4520330021144,0.3731973784410575
(2000 FP10),1.7818246666611668,0.2374181992928285,23.57191878344399,12,7,631.1333483534753,1.098082332733963
(2002 VO69),1.9415303806625617,0.3486917757257289,20.93955127570986,9,8,630.8783866362841,0.9376009606964784
(1991 VA),1.952817704698022,0.3571435574483908,6.60387722952647,12,8,630.4523945338518,0.9250174277467392
(2002 TH68),1.800626522972711,0.2542467252004873,19.938995239104443,19,6,628.2889586637373,1.07062119375525
(2003 JY2),2.2995272708572547,0.6042648700318417,4.9525004469161065,9,8,626.8190158507231,0.5672403232141823
(1993 FA1),1.8387403690231532,0.2890171342100115,20.45750637078046,12,8,622.2874006735209,1.014193576110238
(1991 TU),1.895868145642371,0.3344269129372572,7.733662207388832,9,9,618.5409155569113,0.9456035412097838
(2001 LD),1.9462888696971232,0.3742179206739341,30.07353774606891,15,8,615.6387728794447,0.8862878860224328
(1998 HM1),1.913337429721345,0.3593663175354227,3.24217605299239,11,8,609.9314408032385,0.9017057341997544
(2001 OC36),2.0771390683403492,0.4776138587005849,2.298897121633333,10,8,608.7729610010965,0.7343384446913537
(1991 JR),1.772546440595873,0.2609650565290499,10.1443441689445,15,8,608.7518345776285,1.038866027050152
(2002 LX64),2.243184647085871,0.5965674479206386,5.205089485098764,3,9,608.2961352954302,0.566824601201614
(2001 WV1),2.035132610207865,0.4519814651809326,1.5008241380132032,10,8,606.102238562455,0.7681161350566147
(1995 UB),1.9783275936186102,0.4124597131257796,8.979980709698333,12,7,605.454672921082,0.8229241167619461
(1998 XD12),2.2718742770471643,0.6239587858885607,13.525893247854741,11,8,604.3831719363694,0.5260714550596908
(2002 EG116),1.5066557142309767,0.0780230446319931,12.19738749544848,7,8,603.5001665973647,1.288564150007282
